Keyword,Software_Package,Identifier,Highlight,Citation,Bibcode,Alternate Bibcode,BibGroup,Publisher,Article_ID,DOI,Pub. Year,Author,Title
ds9.si.edu,SAOImage DS9,0,"1999.[23]#x3008;http:&#x2F;&#x2F;idlastro.gsfc.nasa.gov#x3009;, <em>2015.[24]#x3008;http:&#x2F;&#x2F;ds9.si.edu&#x2F;site&#x2F;Home.html#x3009;,</em> 2015",FALSE,2016NIMPA.806...61C,2015arXiv150402962C,,Nuclear Instruments and Methods in Physics Research A,2015arXiv150402962C|2016NIMPA.806...61C|10.1016/j.nima.2015.09.092|10.1016/j.nima.2015.09.092|arXiv:1504.02962|2015arXiv150402962C,10.1016/j.nima.2015.09.092,2016,"Canestrari, Rodolfo",A facility to evaluate the focusing performance of mirrors for Cherenkov Telescopes
ds9.si.edu,SAOImage DS9,0,"is a browser-based implementation of SAOImage DS9 <em>(http:&#x2F;&#x2F;ds9.si.edu&#x2F;),</em> an astronomical imaging and data",TRUE,2018ApJS..234....4Z,,CfA,The Astrophysical Journal Supplement Series,2018ApJS..234....4Z|10.3847/1538-4365/aa99db|10.3847/1538-4365/aa99db,10.3847/1538-4365/aa99db,2018,"ZuHone, J. A.",The Galaxy Cluster Merger Catalog: An Online Repository of Mock Observations from Simulated Galaxy Cluster Mergers
ds9.si.edu,SAOImage DS9,0,",44http:&#x2F;&#x2F;heasarc.nasa.gov&#x2F;xanadu&#x2F;xspec and SAOimage DS9.55http:&#x2F;&#x2F;<em>ds9.si.edu</em> 2.2.Gemini: Optical Imaging",FALSE,2014ApJ...789...64L,2014arXiv1406.4804L,NOAO|Gemini|Chandra|HST,The Astrophysical Journal,2014arXiv1406.4804L|2014ApJ...789...64L|10.1088/0004-637X/789/1/64|arXiv:1406.4804|2014arXiv1406.4804L|10.1088/0004-637X/789/1/64,10.1088/0004-637X/789/1/64,2014,"Laycock, Silas",A Transient Supergiant X-Ray Binary in IC 10: An Extragalactic SFXT?
ds9.si.edu,SAOImage DS9,0,"is a browser-based implementation of SAOImage DS9 <em>(http:&#x2F;&#x2F;ds9.si.edu&#x2F;),</em> an astronomical imaging and data",TRUE,2016arXiv160904121Z,,,arXiv e-prints,2016arXiv160904121Z|arXiv:1609.04121,,2016,"ZuHone, J. A.",The Galaxy Cluster Merger Catalog: An Online Repository of Mock Observations from Simulated Galaxy Cluster Mergers
ds9.si.edu,SAOImage DS9,0,http:&#x2F;&#x2F;www.ivoa.net&#x2F;documents&#x2F;SAMP&#x2F; such as Aladin7 7 http:&#x2F;&#x2F;aladin.u-strasbg.fr&#x2F; or SAOImage DS9.8 8 http:&#x2F;&#x2F;<em>ds9.si.edu</em>,FALSE,2018PASP..130h4503V,2018arXiv180707723V,Spitzer,Publications of the Astronomical Society of the Pacific,2018arXiv180707723V|2018PASP..130h4503V|10.1088/1538-3873/aac5d2|2018arXiv180707723V|arXiv:1807.07723|10.1088/1538-3873/aac5d2,10.1088/1538-3873/aac5d2,2018,"Vitello, F.",Vialactea Visual Analytics Tool for Star Formation Studies of the Galactic Plane
ds9.si.edu,SAOImage DS9,0,-3 <em>Dreams.http:&#x2F;&#x2F;ds9.si.edu&#x2F;site&#x2F;Whats_New.html&gt;:</em> SAOImage DS9.AcknowledgmentsThis effort was supported by Departament d#x2019;Economia i,FALSE,2015AdSpR..56..218N,,,Advances in Space Research,2015AdSpR..56..218N|10.1016/j.asr.2015.04.006|10.1016/j.asr.2015.04.006,10.1016/j.asr.2015.04.006,2015,"Núñez, Jorge",Improving space debris detection in GEO ring using image deconvolution
ds9.si.edu,SAOImage DS9,0,"[8] “SAOImage DS9”. Retrieved May 28,2014 from <em>http:&#x2F;&#x2F;ds9.si.edu&#x2F;site&#x2F;Home.html.</em> [9] Kirk, D., Hwu,",FALSE,2014SPIE.9152E..1JB,,,Software and Cyberinfrastructure for Astronomy III,2014SPIE.9152E..1JB|10.1117/12.2057122|10.1117/12.2057122,10.1117/12.2057122,2014,"Beard, Andrew",DKIST visible broadband imager data processing pipeline
ds9.si.edu,SAOImage DS9,0,"2014SAOImage, 2014. http:&#x2F;&#x2F;<em>ds9.si.edu</em>&#x2F;site&#x2F;Documentation.html&gt;.Schenk et al., 2012PaulSchenkThe geologically",FALSE,2015Icar..257..207M,,,Icarus,2015Icar..257..207M|10.1016/j.icarus.2015.04.038|10.1016/j.icarus.2015.04.038,10.1016/j.icarus.2015.04.038,2015,"McFadden, Lucy A.",Vesta's missing moons: Comprehensive search for natural satellites of Vesta by the Dawn spacecraft
ds9.si.edu,SAOImage DS9,0,"(e.g., ds9 <em>[http:&#x2F;&#x2F;ds9.si.edu&#x2F;])</em> already implement them, making linear coordinate tracking more",TRUE,2018E&SS....5..640M,,,Earth and Space Science,2018E&SS....5..640M|10.1029/2018EA000388|10.1029/2018EA000388,10.1029/2018EA000388,2018,"Marmo, C.","FITS Format for Planetary Surfaces: Definitions, Applications, and Best Practices"
ds9.si.edu,SAOImage DS9,0,"image. Currently, the end user needs to provide an SAO DS95 5 <em>http:&#x2F;&#x2F;ds9.si.edu&#x2F;</em> region file",FALSE,2018ApJ...859...44H,2018arXiv180406493H,Chandra,The Astrophysical Journal,2018arXiv180406493H|2018ApJ...859...44H|10.3847/1538-4357/aabf3a|arXiv:1804.06493|10.3847/1538-4357/aabf3a|2018arXiv180406493H,10.3847/1538-4357/aabf3a,2018,"Hallman, Eric J.",Probing the Curious Case of a Galaxy Cluster Merger in Abell 115 with High-fidelity Chandra X-Ray Temperature and Radio Maps
ds9.si.edu,SAOImage DS9,0,"“SAOImage DS9,” <em>http:&#x2F;&#x2F;ds9.si.edu&#x2F;site&#x2F;Home.html.</em> 13. R. Gooch, “Karma: a visualization test",FALSE,2018JATIS...4b8001B,,,"Journal of Astronomical Telescopes, Instruments, and Systems",2018JATIS...4b8001B|10.1117/1.JATIS.4.2.028001|10.1117/1.JATIS.4.2.028001,10.1117/1.JATIS.4.2.028001,2018,"Burkutean, Sandra",KAFE: the Key-analysis Automated FITS-images Explorer
ds9.si.edu,SAOImage DS9,0,the telescope using software from ACE (Mack 2011) and passes camera 20 7 <em>ds9.si.edu</em>,TRUE,2017PASP..129a5002K,2016arXiv160806245K,,Publications of the Astronomical Society of the Pacific,2016arXiv160806245K|2017PASP..129a5002K|10.1088/1538-3873/129/971/015002|2016arXiv160806245K|10.1088/1538-3873/129/971/015002|arXiv:1608.06245,10.1088/1538-3873/129/971/015002,2017,"Keel, William C.",The Remote Observatories of the Southeastern Association for Research in Astronomy (SARA)
ds9.si.edu,SAOImage DS9,0,package: https:&#x2F;&#x2F;www.astro.rug.nl&#x2F;#x0007E;gipsy. and SAOImage DS9 7 7 http:&#x2F;&#x2F;<em>ds9.si.edu</em>,FALSE,2017PASP..129e8009F,2017arXiv170204829F,,Publications of the Astronomical Society of the Pacific,2017arXiv170204829F|2017PASP..129e8009F|10.1088/1538-3873/aa5385|10.1088/1538-3873/aa5385|2017arXiv170204829F|arXiv:1702.04829,10.1088/1538-3873/aa5385,2017,"Fluke, C. J.",Sports Stars: Analyzing the Performance of Astronomers at Visualization-based Discovery
ds9.si.edu,SAOImage DS9,0,2 http:&#x2F;&#x2F;<em>ds9.si.edu</em>&#x2F;site&#x2F;Documentation.html 17 Many teachers have only experienced cookbook,FALSE,2018RTSRE...1..171R,2018arXiv180408743R,PhysEd,"Robotic Telescope, Student Research and Education Proceedings",2018arXiv180408743R|2018RTSRE...1..171R|arXiv:1804.08743|2018arXiv180408743R,,2018,"Rebull, Luisa",The NASA/IPAC Teacher Archive Research Program (NITARP)
