,Software_Package,Alias,Identifier,File_Name,count
81,AstroPy,10.1051/0004-6361/201322068,1,apjl_827_2_L38.xml,1
82,AstroPy,10.1051/0004-6361/201322068,1,apjl_828_2_L15.xml,1
83,AstroPy,10.1051/0004-6361/201322068,1,apjl_832_1_L3.xml,1
84,AstroPy,10.1051/0004-6361/201322068,1,apjl_843_1_L8.xml,1
85,AstroPy,10.1051/0004-6361/201322068,1,apjl_848_2_L28.xml,1
86,AstroPy,10.1051/0004-6361/201322068,1,apjl_848_2_L32.xml,1
87,AstroPy,10.1051/0004-6361/201322068,1,apjl_850_1_L14.xml,1
88,AstroPy,10.1051/0004-6361/201322068,1,apjl_852_1_L2.xml,1
89,AstroPy,10.1051/0004-6361/201322068,1,apjl_855_2_L23.xml,1
90,AstroPy,10.1051/0004-6361/201322068,1,apjl_855_2_L26.xml,1
91,AstroPy,10.1051/0004-6361/201322068,1,apjl_856_2_L28.xml,1
92,AstroPy,10.1051/0004-6361/201322068,1,apjs_226_1_6.xml,1
93,AstroPy,10.1051/0004-6361/201322068,1,apjs_231_1_11.xml,1
94,AstroPy,10.1051/0004-6361/201322068,1,apjs_233_1_9.xml,1
95,AstroPy,2013A&A...558A..33A,1,aj_148_6_122.xml,1
96,AstroPy,2013A&A...558A..33A,1,aj_151_6_173.xml,1
97,AstroPy,2013A&A...558A..33A,1,aj_152_6_228.xml,1
98,AstroPy,2013A&A...558A..33A,1,aj_153_3_98.xml,1
99,AstroPy,2013A&A...558A..33A,1,aj_153_6_243.xml,1
100,AstroPy,2013A&A...558A..33A,1,aj_154_1_7.xml,1
101,AstroPy,2013A&A...558A..33A,1,aj_154_4_136.xml,1
102,AstroPy,2013A&A...558A..33A,1,aj_154_6_218.xml,1
103,AstroPy,2013A&A...558A..33A,1,aj_154_6_220.xml,1
104,AstroPy,2013A&A...558A..33A,1,aj_154_6_228.xml,1
105,AstroPy,2013A&A...558A..33A,1,aj_155_5_194.xml,1
106,AstroPy,2013A&A...558A..33A,1,apj_791_2_108.xml,1
107,AstroPy,2013A&A...558A..33A,1,apj_795_2_105.xml,1
108,AstroPy,2013A&A...558A..33A,1,apj_801_1_60.xml,1
109,AstroPy,2013A&A...558A..33A,1,apj_803_1_22.xml,1
110,AstroPy,2013A&A...558A..33A,1,apj_803_1_29.xml,1
111,AstroPy,2013A&A...558A..33A,1,apj_806_2_149.xml,1
112,AstroPy,2013A&A...558A..33A,1,apj_806_2_154.xml,1
113,AstroPy,2013A&A...558A..33A,1,apj_809_2_110.xml,1
114,AstroPy,2013A&A...558A..33A,1,apj_811_1_23.xml,1
115,AstroPy,2013A&A...558A..33A,1,apj_811_2_78.xml,1
116,AstroPy,2013A&A...558A..33A,1,apj_813_1_31.xml,1
117,AstroPy,2013A&A...558A..33A,1,apj_814_1_39.xml,1
118,AstroPy,2013A&A...558A..33A,1,apj_815_1_62.xml,1
119,AstroPy,2013A&A...558A..33A,1,apj_816_1_27.xml,1
120,AstroPy,2013A&A...558A..33A,1,apj_818_2_156.xml,1
121,AstroPy,2013A&A...558A..33A,1,apj_822_1_30.xml,1
122,AstroPy,2013A&A...558A..33A,1,apj_824_2_104.xml,1
123,AstroPy,2013A&A...558A..33A,1,apj_825_2_142.xml,1
124,AstroPy,2013A&A...558A..33A,1,apj_825_2_91.xml,1
125,AstroPy,2013A&A...558A..33A,1,apj_826_2_109.xml,1
126,AstroPy,2013A&A...558A..33A,1,apj_827_1_58.xml,1
127,AstroPy,2013A&A...558A..33A,1,apj_827_2_89.xml,1
128,AstroPy,2013A&A...558A..33A,1,apj_830_1_32.xml,1
129,AstroPy,2013A&A...558A..33A,1,apj_830_2_93.xml,1
130,AstroPy,2013A&A...558A..33A,1,apj_832_1_43.xml,1
131,AstroPy,2013A&A...558A..33A,1,apj_833_2_292.xml,1
132,AstroPy,2013A&A...558A..33A,1,apj_835_1_64.xml,1
133,AstroPy,2013A&A...558A..33A,1,apj_835_2_213.xml,1
134,AstroPy,2013A&A...558A..33A,1,apj_837_1_18.xml,1
135,AstroPy,2013A&A...558A..33A,1,apj_837_1_20.xml,1
136,AstroPy,2013A&A...558A..33A,1,apj_837_1_29.xml,1
137,AstroPy,2013A&A...558A..33A,1,apj_838_1_22.xml,1
138,AstroPy,2013A&A...558A..33A,1,apj_838_1_45.xml,1
139,AstroPy,2013A&A...558A..33A,1,apj_840_2_97.xml,1
140,AstroPy,2013A&A...558A..33A,1,apj_842_1_14.xml,1
141,AstroPy,2013A&A...558A..33A,1,apj_843_1_35.xml,1
142,AstroPy,2013A&A...558A..33A,1,apj_843_1_46.xml,1
143,AstroPy,2013A&A...558A..33A,1,apj_845_1_81.xml,1
144,AstroPy,2013A&A...558A..33A,1,apj_845_2_173.xml,1
145,AstroPy,2013A&A...558A..33A,1,apj_846_1_38.xml,1
146,AstroPy,2013A&A...558A..33A,1,apj_846_2_99.xml,1
147,AstroPy,2013A&A...558A..33A,1,apj_847_1_25.xml,1
