Alias,Software_Package,Identifier,Highlight,Citation,Bibcode,Alternate_Bibcode,BibGroup,Publisher,Article_ID,DOI,Pub_Year,Pub_Date,Author,Title
DS9,SAOImage DS9,0,and declinations from a Digital Sky Survey image displayed with <em>DS9</em> to obtain the transformation solution,FALSE,2015PASP..127...31K,2014arXiv1412.0324K,,Publications of the Astronomical Society of the Pacific,2014arXiv1412.0324K|2015PASP..127...31K|10.1086/679743|2014arXiv1412.0324K|10.1086/679743|arXiv:1412.0324,10.1086/679743,2015,2015-01-00,"Krisciunas, Kevin",CCD Photometry of NGC 2482 and Five Previously Unobserved Open Star Clusters
DS9,SAOImage DS9,0,each amplifier. The mosaic was visualised with SAOImage <em>DS9</em> (Smithsonian Astrophysical Observat 2000),TRUE,2017PASA...34...38V,2017arXiv170804605V,NOAO,Publications of the Astronomical Society of Australia,2017arXiv170804605V|2017PASA...34...38V|10.1017/pasa.2017.34|arXiv:1708.04605|2017arXiv170804605V|10.1017/pasa.2017.34,10.1017/pasa.2017.34,2017,2017-09-00,"Vohl, Dany",Enabling Near Real-Time Remote Search for Fast Transient Events with Lossy Data Compression
DS9,SAOImage DS9,0,and data visualization program <em>DS9</em> (made available by the Smithsonian,TRUE,2012AmJPh..80..429K,2011arXiv1109.4957K,PhysEd,American Journal of Physics,2011arXiv1109.4957K|2012AmJPh..80..429K|10.1119/1.3687924|2011arXiv1109.4957K|arXiv:1109.4957|10.1119/1.3687924,10.1119/1.3687924,2012,2012-05-00,"Krisciunas, Kevin",The first three rungs of the cosmological distance ladder
DS9,SAOImage DS9,0,"of NASA’s Astrophysics Data System, and of SAOImage <em>DS9</em> (Joye &amp; Mandel 2003), developed by",TRUE,2014ApJ...781L..12R,2013arXiv1310.3441R,,The Astrophysical Journal,2013arXiv1310.3441R|10.1088/2041-8205/781/1/L12|2014ApJ...781L..12R|2013arXiv1310.3441R|arXiv:1310.3441|10.1088/2041-8205/781/1/L12,10.1088/2041-8205/781/1/L12,2014,2014-01-00,"Rich, J. A.",Composite Spectra in Merging U/LIRGs Caused by Shocks
DS9,SAOImage DS9,0,visually in SAOImage <em>DS9.</em> The conversion factor between the observed flux expressed in counts per second,FALSE,2004AJ....128.2758M,2004astro.ph.11148M,HST,The Astronomical Journal,2004astro.ph.11148M|10.1086/425628|2004AJ....128.2758M|2004astro.ph.11148M|arXiv:astro-ph/0411148|10.1086/425628,10.1086/425628,2004,2004-12-00,"Martel, A. R.",Dust and Ionized Gas in Nine Nearby Early-Type Galaxies Imaged with the Hubble Space Telescope Advanced Camera for Surveys
DS9,SAOImage DS9,0,"This research has made use of SAOImage <em>DS9,</em> developed by Smithsonian Astrophysical Observatory. REFERENCES",FALSE,2011ApJ...729L...9B,2011arXiv1101.1953B,NOAO|Spitzer,The Astrophysical Journal,2011arXiv1101.1953B|10.1088/2041-8205/729/1/L9|2011ApJ...729L...9B|arXiv:1101.1953|2011arXiv1101.1953B|10.1088/2041-8205/729/1/L9,10.1088/2041-8205/729/1/L9,2011,2011-03-00,"Bonanos, Alceste Z.",The Distance to the Massive Eclipsing Binary LMC-SC1-105 in the Large Magellanic Cloud
DS9,SAOImage DS9,0,"images are displayed by SAOImage <em>DS9</em> incorporated with a Python module. For operational convenience,",FALSE,2011JKAS...44...81K,,,Journal of Korean Astronomical Society,2011JKAS...44...81K|10.5303/JKAS.2011.44.3.081|10.5303/JKAS.2011.44.3.081,10.5303/JKAS.2011.44.3.081,2011,2011-06-00,"Kim, Kee-Tae",100-GHz Band Test Observations of the KVN 21-m Radio Telescopes
DS9,SAOImage DS9,0,"and <em>DS=9</em> nm for structure S2 (from left to right) and the QDs with typical diameters DL=28 nm, Dav",TRUE,2011PhRvB..84o5318S,2011arXiv1107.4121S,,Physical Review B,2011arXiv1107.4121S|2011PhRvB..84o5318S|10.1103/PhysRevB.84.155318|10.1103/PhysRevB.84.155318|2011arXiv1107.4121S|arXiv:1107.4121,10.1103/PhysRevB.84.155318,2011,2011-10-00,"Shamirzaev, T. S.","Exciton recombination dynamics in an ensemble of (In,Al)As/AlAs quantum dots with indirect band-gap and type-I band alignment"
DS9,SAOImage DS9,0,the data from the different wavelength regimes using the SAOImage <em>DS9</em> image analysis tool (Joye et al.,TRUE,2015ApJ...801...92T,2015arXiv150303181T,Chandra|HST|CfA,The Astrophysical Journal,2015arXiv150303181T|2015ApJ...801...92T|10.1088/0004-637X/801/2/92|10.1088/0004-637X/801/2/92|arXiv:1503.03181|2015arXiv150303181T,10.1088/0004-637X/801/2/92,2015,2015-03-00,"Takei, D.",X-Ray Fading and Expansion in the “Miniature Supernova Remnant” of GK Persei
DS9,SAOImage DS9,0,We repeated the analysis above using the centroiding feature within SAOImage <em>DS9.</em> Centroiding,FALSE,2013arXiv1307.3539D,,,arXiv e-prints,2013arXiv1307.3539D|arXiv:1307.3539,,2013,2013-07-00,"DeLaney, Tracey",The Proper Motion of the Neutron Star in Cassiopeia A
