,Software_Package,Pub_Year,year_count
0,AstroBlend,2016,1
1,Astropy,2002,1
2,Astropy,2012,1
3,Astropy,2013,3
4,Astropy,2014,37
5,Astropy,2015,63
6,Astropy,2016,117
7,Astropy,2017,199
8,Astropy,2018,118
9,RADMC-3D,2004,1
10,RADMC-3D,2005,1
11,RADMC-3D,2006,1
12,RADMC-3D,2007,4
13,RADMC-3D,2008,4
14,RADMC-3D,2009,14
15,RADMC-3D,2010,19
16,RADMC-3D,2011,13
17,RADMC-3D,2012,23
18,RADMC-3D,2013,15
19,RADMC-3D,2014,13
20,RADMC-3D,2015,28
21,RADMC-3D,2016,29
22,RADMC-3D,2017,37
23,RADMC-3D,2018,12
24,SAOImage DS9,1997,1
25,SAOImage DS9,1998,3
26,SAOImage DS9,1999,1
27,SAOImage DS9,2000,2
28,SAOImage DS9,2001,1
29,SAOImage DS9,2002,2
30,SAOImage DS9,2003,2
31,SAOImage DS9,2004,5
32,SAOImage DS9,2005,7
33,SAOImage DS9,2006,12
34,SAOImage DS9,2007,20
35,SAOImage DS9,2008,17
36,SAOImage DS9,2009,28
37,SAOImage DS9,2010,28
38,SAOImage DS9,2011,24
39,SAOImage DS9,2012,34
40,SAOImage DS9,2013,33
41,SAOImage DS9,2014,25
42,SAOImage DS9,2015,26
43,SAOImage DS9,2016,23
44,SAOImage DS9,2017,29
45,SAOImage DS9,2018,18
46,Spec2d,2002,1
47,Spec2d,2003,2
48,Spec2d,2004,4
49,Spec2d,2005,4
50,Spec2d,2006,13
51,Spec2d,2007,16
52,Spec2d,2008,11
53,Spec2d,2009,17
54,Spec2d,2010,12
55,Spec2d,2011,25
56,Spec2d,2012,25
57,Spec2d,2013,24
58,Spec2d,2014,29
59,Spec2d,2015,39
60,Spec2d,2016,41
61,Spec2d,2017,30
62,Spec2d,2018,11
63,Stingray,2018,2
64,TARDIS,2015,1
65,TARDIS,2016,2
66,TARDIS,2017,1
67,WCSTools,1998,1
68,WCSTools,1999,1
69,WCSTools,2001,3
70,WCSTools,2002,5
71,WCSTools,2003,3
72,WCSTools,2004,6
73,WCSTools,2005,6
74,WCSTools,2006,6
75,WCSTools,2007,9
76,WCSTools,2008,4
77,WCSTools,2009,7
78,WCSTools,2010,18
79,WCSTools,2011,12
80,WCSTools,2012,14
81,WCSTools,2013,9
82,WCSTools,2014,3
83,WCSTools,2015,6
84,WCSTools,2016,3
85,WCSTools,2017,6
86,WCSTools,2018,1
