Software_name,Total_files,Total_unique_alias,Total_unique_XML_tags,Total_files_with_ref_attempt,Percentage_files_with_ref_attempt,Total_files_with_ref,Percentage_files_with_ref,Total_refs_with_identifier,Percentage_refs_with_identifier
AstroPy,497,7,9,469,94.3662,455,91.5493,457,91.95171
SAOImage DS,492,9,17,169,34.34959,60,12.19512,57,11.58537
RADMC-3D,200,11,13,149,74.5,144,72,112,56
spec2d,296,10,13,165,55.74324,142,47.97297,135,45.60811
Stingray,8,2,9,1,12.5,1,12.5,0,0
Tardis,14,3,6,1,7.142857,0,0,0,0
WCSTools,157,11,11,23,14.64968,23,14.64968,23,14.64968
