Alias,Pub_Year,File_Name
hea&hyphen;www.harvard.edu/RD/ds9,2008,1
hea&hyphen;www.harvard.edu/RD/saotng,2004,1
hea&hyphen;www.harvard.edu/saord/ds9,2005,1
hea-www.harvard.edu/RD/ds9,2006,1
hea-www.harvard.edu/RD/ds9,2009,4
hea-www.harvard.edu/RD/ds9,2010,1
hea-www.harvard.edu/RD/ds9,2011,2
hea-www.harvard.edu/RD/ds9,2012,1
hea-www.harvard.edu/RD/ds9,2013,3
hea-www.harvard.edu/RD/ds9,2014,2
hea-www.harvard.edu/RD/ds9,2015,1
hea-www.harvard.edu/saord/funtools/ds9,2008,1
idlspec2d,2003,1
idlspec2d,2004,1
idlspec2d,2005,2
idlspec2d,2006,2
idlspec2d,2007,5
idlspec2d,2008,1
idlspec2d,2009,1
idlspec2d,2010,1
idlspec2d,2011,5
idlspec2d,2012,3
idlspec2d,2013,4
idlspec2d,2014,3
idlspec2d,2015,8
idlspec2d,2016,9
idlspec2d,2017,1
imwcs,2003,1
imwcs,2004,1
imwcs,2005,4
imwcs,2006,1
imwcs,2007,1
imwcs,2009,2
imwcs,2010,4
imwcs,2011,4
imwcs,2012,3
ita.uni-heidelberg.de/dullemond/software/radmc-3d,2014,1
ita.uni-heidelberg.de/dullemond/software/radmc-3d,2015,5
ita.uni-heidelberg.de/dullemond/software/radmc-3d,2016,1
ita.uni-heidelberg.de/dullemond/software/radmc-3d,2017,4
ita.uni-heidelberg.de/~dullemond/software/radmc-3d,2012,4
ita.uni-heidelberg.de/~dullemond/software/radmc-3d,2013,5
ita.uni-heidelberg.de/~dullemond/software/radmc-3d,2014,5
ita.uni-heidelberg.de/~dullemond/software/radmc-3d,2015,7
ita.uni-heidelberg.de/~dullemond/software/radmc-3d,2016,8
ita.uni-heidelberg.de/~dullemond/software/radmc-3d,2017,7
ita.uni-heidelberg.de/~dullemond/software/radmc-3d,2018,1
ita.uni-heidelberg.de∼deullemond/software/radmc-3d,2015,1
juno.as.arizona.edu/~cooper/deep/spec2d,2011,1
keck.hawaii.edu/inst/deimos/pipeline.html,2006,1
keck.hawaii.edu/inst/deimos/pipeline.html,2008,1
keck.hawaii.edu/inst/deimos/pipeline.html,2010,1
keck.hawaii.edu/inst/deimos/pipeline.html,2012,1
keck.hawaii.edu/inst/deimos/pipeline.html,2015,1
radmc,2011,1
radmc,2014,1
radmc,2015,2
radmc-3d,2010,2
radmc-3d,2014,1
radmc-3d,2015,3
radmc-3d,2016,3
radmc-3d,2017,7
radmc3d,2015,4
radmc3dPy,2018,2
saoimage,2009,1
saoimage ds9,2017,1
sdss3.org/svn/repo/idlspec2d,2012,1
sdss3.org/svn/repo/idlspec2d,2013,1
sdss3.org/svn/repo/idlspec2d,2015,2
sky2xy,2012,1
spec2d,2002,1
spec2d,2004,1
spec2d,2005,1
spec2d,2006,8
spec2d,2007,9
spec2d,2008,3
spec2d,2009,9
spec2d,2010,6
spec2d,2011,11
spec2d,2012,14
spec2d,2013,12
spec2d,2014,8
spec2d,2015,12
spec2d,2016,16
spec2d,2017,11
spec2d,2018,4
spectro.princeton.edu/idlspec2d,2009,2
spectro.princeton.edu/idlspec2d,2010,2
spectro.princeton.edu/idlspec2d,2011,4
spectro.princeton.edu/idlspec2d,2012,1
spectro.princeton.edu/idlspec2d,2013,2
spectro.princeton.edu/idlspec2d,2014,1
stingray,2018,1
svn.sdss.org/public/repo/manga/mangadrp/tags/v1_5_4/pro/spec2d,2016,1
tardis,2016,1
tdc&hyphen;www.harvard.edu/software/wcstools,2003,1
tdc&hyphen;www.harvard.edu/software/wcstools,2004,2
tdc&hyphen;www.harvard.edu/software/wcstools,2005,2
tdc&hyphen;www.harvard.edu/software/wcstools,2007,2
tdc&hyphen;www.harvard.edu/software/wcstools,2008,1
tdc-www.cfa.harvard.edu/software/wcstools,2007,1
tdc-www.cfa.harvard.edu/software/wcstools,2009,1
tdc-www.harvard.edu/software/wcstools,2009,1
tdc-www.harvard.edu/software/wcstools,2010,4
tdc-www.harvard.edu/software/wcstools,2011,4
tdc-www.harvard.edu/software/wcstools,2017,1
tdc-www.harvard.edu/wcstools,2011,1
tdc-www.harvard.edu/wcstools,2012,4
tdc-www.harvard.edu/wcstools,2013,3
tdc-www.harvard.edu/wcstools,2015,1
tdc-www.harvard.edu/wcstools,2016,1
tdc-www.harvard.edu/wcstools,2017,1
wcstools,2004,1
wcstools,2006,1
wcstools,2009,2
wcstools,2010,4
wcstools,2011,2
wcstools,2012,2
wcstools,2013,2
wcstools,2016,1
xy2sky,2007,1
xy2sky,2008,1
xy2sky,2010,1
xy2sky,2011,1
xy2sky,2012,3
xy2sky,2013,1
