,Software_Package,Pub_Year,year_count
0,AstroBlend,2016,1
1,Astropy,2012,1
2,Astropy,2013,3
3,Astropy,2014,37
4,Astropy,2015,63
5,Astropy,2016,117
6,Astropy,2017,199
7,Astropy,2018,118
8,RADMC-3D,2004,1
9,RADMC-3D,2005,1
10,RADMC-3D,2006,1
11,RADMC-3D,2007,4
12,RADMC-3D,2008,4
13,RADMC-3D,2009,14
14,RADMC-3D,2010,19
15,RADMC-3D,2011,13
16,RADMC-3D,2012,23
17,RADMC-3D,2013,15
18,RADMC-3D,2014,13
19,RADMC-3D,2015,28
20,RADMC-3D,2016,29
21,RADMC-3D,2017,37
22,RADMC-3D,2018,12
23,SAOImage DS9,1997,1
24,SAOImage DS9,1998,3
25,SAOImage DS9,1999,1
26,SAOImage DS9,2000,2
27,SAOImage DS9,2001,1
28,SAOImage DS9,2002,2
29,SAOImage DS9,2003,2
30,SAOImage DS9,2004,5
31,SAOImage DS9,2005,7
32,SAOImage DS9,2006,12
33,SAOImage DS9,2007,20
34,SAOImage DS9,2008,17
35,SAOImage DS9,2009,28
36,SAOImage DS9,2010,28
37,SAOImage DS9,2011,24
38,SAOImage DS9,2012,34
39,SAOImage DS9,2013,33
40,SAOImage DS9,2014,25
41,SAOImage DS9,2015,26
42,SAOImage DS9,2016,23
43,SAOImage DS9,2017,29
44,SAOImage DS9,2018,18
45,Spec2d,2002,1
46,Spec2d,2003,2
47,Spec2d,2004,4
48,Spec2d,2005,4
49,Spec2d,2006,13
50,Spec2d,2007,16
51,Spec2d,2008,11
52,Spec2d,2009,17
53,Spec2d,2010,12
54,Spec2d,2011,25
55,Spec2d,2012,25
56,Spec2d,2013,24
57,Spec2d,2014,29
58,Spec2d,2015,39
59,Spec2d,2016,41
60,Spec2d,2017,30
61,Spec2d,2018,11
62,Stingray,2018,2
63,TARDIS,2015,1
64,TARDIS,2016,2
65,TARDIS,2017,1
66,WCSTools,1998,1
67,WCSTools,1999,1
68,WCSTools,2001,3
69,WCSTools,2002,5
70,WCSTools,2003,3
71,WCSTools,2004,6
72,WCSTools,2005,6
73,WCSTools,2006,6
74,WCSTools,2007,9
75,WCSTools,2008,4
76,WCSTools,2009,7
77,WCSTools,2010,18
78,WCSTools,2011,12
79,WCSTools,2012,14
80,WCSTools,2013,9
81,WCSTools,2014,3
82,WCSTools,2015,6
83,WCSTools,2016,3
84,WCSTools,2017,6
85,WCSTools,2018,1
