Parent1_Tag,Index
article-id,1
article-title,25
collab,389
comment,50
conf-name,1
disp-formula,3
ext-link,1279
fpage,2
institution,1
italic,119
monospace,346
p,1661
pub-id,522
sans-serif,2
sc,101
source,47
sub,2
surname,9
td,5
tex-math,4
title,4
volume,1
year,1
