Parent3_Tag,Index
abstract,4
ack,180
app,24
app-group,38
article,230
article-meta,5
back,732
caption,18
contrib-group,1
element-citation,360
fig,66
fig-group,7
fn,252
fn-group,13
front,1
list,14
list-item,22
nlm-citation,42
oasis:row,2
p,25
person-group,9
ref,1607
sec,909
table-wrap,2
table-wrap-foot,6
tbody,5
tr,1
