Parent4_Tag,Index
ack,5
app,7
app-group,24
article,1265
article-meta,5
back,218
body,230
element-citation,7
fig,14
fig-group,3
fn-group,34
front,5
list,22
list-item,1
nlm-citation,2
oasis:tbody,2
p,236
ref,402
ref-list,1607
sec,470
table,5
table-wrap,7
table-wrap-foot,3
tbody,1
