,Parent1_Tag,Parent2_Tag,Parent3_Tag,Parent4_Tag,Software_Package,tags
52,,,list,,SAOImage DS9,3
53,,,list-item,,SAOImage DS9,2
54,,,p,,SAOImage DS9,7
55,,,ref,,SAOImage DS9,58
56,,,sec,,SAOImage DS9,122
57,,,table-wrap,,SAOImage DS9,2
58,,,table-wrap-foot,,SAOImage DS9,3
59,,,abstract,,Spec2d,1
60,,,ack,,Spec2d,4
61,,,app,,Spec2d,4
62,,,app-group,,Spec2d,2
63,,,article,,Spec2d,26
64,,,article-meta,,Spec2d,1
65,,,back,,Spec2d,35
66,,,caption,,Spec2d,7
67,,,element-citation,,Spec2d,3
68,,,fig,,Spec2d,6
69,,,fn,,Spec2d,71
70,,,fn-group,,Spec2d,8
71,,,front,,Spec2d,1
72,,,list-item,,Spec2d,17
73,,,nlm-citation,,Spec2d,2
74,,,oasis:row,,Spec2d,2
75,,,p,,Spec2d,4
76,,,ref,,Spec2d,305
77,,,sec,,Spec2d,305
78,,,table-wrap-foot,,Spec2d,1
79,,,article,,Stingray,1
80,,,ref,,Stingray,1
81,,,sec,,Stingray,7
82,,,article,,TARDIS,7
83,,,caption,,TARDIS,1
84,,,ref,,TARDIS,4
85,,,sec,,TARDIS,5
86,,,ack,,WCSTools,8
87,,,app,,WCSTools,1
88,,,app-group,,WCSTools,4
89,,,article,,WCSTools,27
90,,,back,,WCSTools,2
91,,,element-citation,,WCSTools,1
92,,,fn,,WCSTools,33
93,,,fn-group,,WCSTools,3
94,,,list,,WCSTools,2
95,,,list-item,,WCSTools,1
96,,,p,,WCSTools,3
97,,,ref,,WCSTools,38
98,,,sec,,WCSTools,110
0,,,,p,AstroBlend,1
1,,,,sec,AstroBlend,1
2,,,,app-group,Astropy,5
3,,,,article,Astropy,619
4,,,,article-meta,Astropy,3
5,,,,back,Astropy,118
6,,,,body,Astropy,31
7,,,,element-citation,Astropy,7
8,,,,fig,Astropy,1
9,,,,front,Astropy,1
10,,,,list,Astropy,1
11,,,,nlm-citation,Astropy,2
12,,,,p,Astropy,60
13,,,,ref,Astropy,388
14,,,,ref-list,Astropy,940
15,,,,sec,Astropy,55
16,,,,table,Astropy,1
17,,,,tbody,Astropy,1
18,,,,app,RADMC-3D,6
19,,,,app-group,RADMC-3D,4
20,,,,article,RADMC-3D,188
21,,,,article-meta,RADMC-3D,1
22,,,,back,RADMC-3D,29
23,,,,body,RADMC-3D,90
24,,,,fig,RADMC-3D,5
25,,,,front,RADMC-3D,3
26,,,,list,RADMC-3D,1
27,,,,p,RADMC-3D,57
28,,,,ref,RADMC-3D,8
29,,,,ref-list,RADMC-3D,261
30,,,,sec,RADMC-3D,113
31,,,,table,RADMC-3D,4
32,,,,table-wrap,RADMC-3D,3
33,,,,table-wrap-foot,RADMC-3D,1
34,,,,ack,SAOImage DS9,1
35,,,,app,SAOImage DS9,1
36,,,,app-group,SAOImage DS9,10
37,,,,article,SAOImage DS9,217
38,,,,back,SAOImage DS9,53
39,,,,body,SAOImage DS9,48
40,,,,fig,SAOImage DS9,3
41,,,,fn-group,SAOImage DS9,10
42,,,,list,SAOImage DS9,2
43,,,,list-item,SAOImage DS9,1
44,,,,p,SAOImage DS9,38
45,,,,ref-list,SAOImage DS9,58
46,,,,sec,SAOImage DS9,57
47,,,,table-wrap,SAOImage DS9,3
48,,,,ack,Spec2d,3
49,,,,app-group,Spec2d,4
50,,,,article,Spec2d,162
51,,,,article-meta,Spec2d,1
52,,,,back,Spec2d,6
53,,,,body,Spec2d,26
54,,,,fig,Spec2d,4
55,,,,fig-group,Spec2d,3
56,,,,fn-group,Spec2d,12
57,,,,front,Spec2d,1
58,,,,list,Spec2d,17
59,,,,oasis:tbody,Spec2d,2
60,,,,p,Spec2d,57
61,,,,ref,Spec2d,5
62,,,,ref-list,Spec2d,305
63,,,,sec,Spec2d,194
64,,,,table-wrap,Spec2d,1
65,,,,table-wrap-foot,Spec2d,2
66,,,,article,Stingray,2
67,,,,body,Stingray,1
68,,,,ref-list,Stingray,1
69,,,,sec,Stingray,5
70,,,,article,TARDIS,1
71,,,,body,TARDIS,7
72,,,,fig,TARDIS,1
73,,,,ref-list,TARDIS,4
74,,,,sec,TARDIS,4
75,,,,ack,WCSTools,1
76,,,,app-group,WCSTools,1
77,,,,article,WCSTools,76
78,,,,back,WCSTools,12
79,,,,body,WCSTools,27
80,,,,fn-group,WCSTools,12
81,,,,list,WCSTools,1
82,,,,p,WCSTools,23
83,,,,ref,WCSTools,1
84,,,,ref-list,WCSTools,38
85,,,,sec,WCSTools,41
