Software_Package,Parent1_Tag,Count
AstroBlend,ext-link,1
AstroBlend,sc,1
Astropy,collab,389
Astropy,comment,41
Astropy,conf-name,1
Astropy,disp-formula,3
Astropy,ext-link,576
Astropy,institution,1
Astropy,italic,14
Astropy,monospace,108
Astropy,p,648
Astropy,pub-id,405
Astropy,sans-serif,2
Astropy,sc,22
Astropy,source,6
Astropy,surname,9
Astropy,td,1
Astropy,tex-math,3
Astropy,year,1
RADMC-3D,article-title,19
RADMC-3D,comment,5
RADMC-3D,ext-link,267
RADMC-3D,fpage,1
RADMC-3D,italic,3
RADMC-3D,monospace,50
RADMC-3D,p,343
RADMC-3D,pub-id,23
RADMC-3D,sc,42
RADMC-3D,source,13
RADMC-3D,td,4
RADMC-3D,title,3
RADMC-3D,volume,1
SAOImage DS9,ext-link,105
SAOImage DS9,italic,18
SAOImage DS9,monospace,5
SAOImage DS9,p,368
SAOImage DS9,sc,4
SAOImage DS9,source,1
SAOImage DS9,title,1
Spec2d,article-id,1
Spec2d,article-title,6
Spec2d,comment,4
Spec2d,ext-link,253
Spec2d,fpage,1
Spec2d,italic,58
Spec2d,monospace,159
Spec2d,p,181
Spec2d,pub-id,90
Spec2d,sc,24
Spec2d,source,26
Spec2d,sub,2
Stingray,ext-link,2
Stingray,monospace,5
Stingray,p,4
Stingray,source,1
TARDIS,p,8
TARDIS,pub-id,4
TARDIS,sc,5
WCSTools,ext-link,75
WCSTools,italic,26
WCSTools,monospace,19
WCSTools,p,109
WCSTools,sc,3
WCSTools,tex-math,1
