,Spec2d_XML_Tags
21,abstract
12,ack
13,app
22,app-group
23,article
0,article-id
14,article-meta
1,article-title
24,back
31,body
25,caption
2,comment
15,element-citation
3,ext-link
32,fig
16,fn
26,fn-group
4,fpage
27,front
5,italic
33,list
28,list-item
6,monospace
17,nlm-citation
18,oasis:entry
29,oasis:row
34,oasis:tbody
7,p
8,pub-id
30,ref
35,ref-list
9,sc
19,sec
10,source
20,title
