,RADMC3D_XML_Tags
14,abstract
15,ack
16,app
24,app-group
25,article
26,article-meta
0,article-title
27,back
32,body
17,caption
1,comment
18,element-citation
2,ext-link
28,fig
19,fn
3,fpage
33,front
4,italic
29,list
20,list-item
5,monospace
21,nlm-citation
6,p
7,pub-id
30,ref
34,ref-list
8,sc
22,sec
9,source
35,table
36,table-wrap
37,table-wrap-foot
31,tbody
10,td
11,title
23,tr
12,volume
