,Software_Package,Pub_Year,year_count
0,AstroBlend,2016,1
1,AstroPy,2013,3
2,AstroPy,2014,36
3,AstroPy,2015,60
4,AstroPy,2016,100
5,AstroPy,2017,176
6,AstroPy,2018,108
7,RADMC-3D,2009,13
8,RADMC-3D,2010,19
9,RADMC-3D,2011,13
10,RADMC-3D,2012,22
11,RADMC-3D,2013,15
12,RADMC-3D,2014,13
13,RADMC-3D,2015,28
14,RADMC-3D,2016,28
15,RADMC-3D,2017,37
16,RADMC-3D,2018,12
17,SAOImage DS9,2000,1
18,SAOImage DS9,2001,1
19,SAOImage DS9,2002,1
20,SAOImage DS9,2003,2
21,SAOImage DS9,2004,4
22,SAOImage DS9,2005,7
23,SAOImage DS9,2006,12
24,SAOImage DS9,2007,18
25,SAOImage DS9,2008,16
26,SAOImage DS9,2009,27
27,SAOImage DS9,2010,28
28,SAOImage DS9,2011,22
29,SAOImage DS9,2012,33
30,SAOImage DS9,2013,30
31,SAOImage DS9,2014,25
32,SAOImage DS9,2015,26
33,SAOImage DS9,2016,23
34,SAOImage DS9,2017,30
35,SAOImage DS9,2018,17
36,Spec2d,2002,1
37,Spec2d,2003,1
38,Spec2d,2004,3
39,Spec2d,2005,2
40,Spec2d,2006,10
41,Spec2d,2007,10
42,Spec2d,2008,9
43,Spec2d,2009,16
44,Spec2d,2010,10
45,Spec2d,2011,18
46,Spec2d,2012,21
47,Spec2d,2013,19
48,Spec2d,2014,25
49,Spec2d,2015,33
50,Spec2d,2016,34
51,Spec2d,2017,29
52,Spec2d,2018,11
53,Stingray,2018,1
54,TARDIS,2013,1
55,TARDIS,2015,1
56,TARDIS,2016,2
57,TARDIS,2017,1
58,WCS Tools,1998,1
59,WCS Tools,1999,1
60,WCS Tools,2001,3
61,WCS Tools,2002,5
62,WCS Tools,2003,3
63,WCS Tools,2004,3
64,WCS Tools,2005,6
65,WCS Tools,2006,6
66,WCS Tools,2007,9
67,WCS Tools,2008,4
68,WCS Tools,2009,5
69,WCS Tools,2010,16
70,WCS Tools,2011,12
71,WCS Tools,2012,13
72,WCS Tools,2013,9
73,WCS Tools,2014,2
74,WCS Tools,2015,5
75,WCS Tools,2016,3
76,WCS Tools,2017,6
77,WCS Tools,2018,1
