,Software_Package,Alias,Identifier,fn_count
0,RADMC-3D,RADMC,0,8
1,SAOImage DS9,DS9,0,10
2,SAOImage DS9,SAOIMAGE,0,3
3,SAOImage DS9,SAOImage,0,1
4,SAOImage DS9,SAOImage DS9,0,5
5,SAOImage DS9,ds9,0,4
6,Spec2d,DEEP2 DEIMOS pipeline,0,2
7,Spec2d,DEIMOS pipeline,0,3
8,Spec2d,idlspec2d,0,3
9,Spec2d,spec2d,0,10
10,WCSTools,WCS Tools,0,1
11,WCSTools,WCSLIB,0,1
12,WCSTools,WCSTOOLS,0,2
13,WCSTools,WCSTools,0,11
14,WCSTools,imwcs,0,4
15,WCSTools,xy2sky,0,1
