"","Software_name","File_name","Article_id","Alias","ID","XML_tag1","XML_tag2","XML_tag1_content","XML_tag2_content","Publication_year","Journal_title","Publisher"
"135","SAOImage DS9","apj_759_1_34.xml","apj445129, ASJOAB, 10.1088/0004-637X/759/1/34, 445129","SAOImage DS9",0,"p","ack","This work is based on observations with <italic>AK","
<p>This work is based on observations with <itali",2012,"The Astrophysical Journal","The American Astronomical Society"
"136","SAOImage DS9","apj_761_1_3.xml","apj449870, ASJOAB, 10.1088/0004-637X/761/1/3, 449870","SAOImage DS9",0,"p","ack","The authors thank M̩d̩ric Boquien and the HERM33ES","
<p>The authors thank M̩d̩ric Boquien and the HERM",2012,"The Astrophysical Journal","The American Astronomical Society"
"137","SAOImage DS9","apj_761_2_117.xml","apj451042, ASJOAB, 10.1088/0004-637X/761/2/117, 451042","SAOImage DS9",0,"p","ack","Based on observations obtained with <italic>XMM-Ne","
<p>We thank M. Freyberg and F. Haberl for their v",2012,"The Astrophysical Journal","The American Astronomical Society"
"138","SAOImage DS9","apj_762_1_1.xml","apj452169, ASJOAB, 10.1088/0004-637X/762/1/1, 452169","SAOImage DS9",0,"p","ack","The authors thank Mario Hamuy, Maximilian Stritzin","
<p>The authors thank Mario Hamuy, Maximilian Stri",2013,"The Astrophysical Journal","The American Astronomical Society"
"139","SAOImage DS9","apj_762_2_87.xml","apj453148, ASJOAB, 10.1088/0004-637X/762/2/87, 453148","SAOImage DS9",0,"p","ack","This research is based on observations obtained wi","
<p>This research is based on observations obtaine",2013,"The Astrophysical Journal","The American Astronomical Society"
"140","SAOImage DS9","apj_765_1_28.xml","apj459673, ASJOAB, 10.1088/0004-637X/765/1/28, 459673","SAOImage DS9",0,"p","ack","Based on observations obtained with MegaPrime/ Meg","
<p>Based on observations obtained with MegaPrime/",2013,"The Astrophysical Journal","The American Astronomical Society"
"141","SAOImage DS9","apj_765_2_141.xml","apj460850, ASJOAB, 10.1088/0004-637X/765/2/141, 460850","SAOImage DS9",0,"p","ack","This research is supported by NASA grant GO1-12123","<p>This research is supported by NASA grant GO1-12",2013,"The Astrophysical Journal","The American Astronomical Society"
"142","SAOImage DS9","apj_767_2_166.xml","apj465680, ASJOAB, 10.1088/0004-637X/767/2/166, 465680, ApJ90166","SAOImage DS9",0,"p","ack","This research has made use of SAOImage DS9 (Joye &","
<p>P.G. acknowledges a JAXA International Top You",2013,"The Astrophysical Journal","The American Astronomical Society"
"143","SAOImage DS9","apj_769_2_120.xml","apj471185, ASJOAB, 10.1088/0004-637X/769/2/120, 471185, ApJ89666","SAOImage DS9",0,"p","ack","This work was supported by the National Science Fo","<p>This work was supported by the National Science",2013,"The Astrophysical Journal","The American Astronomical Society"
"144","SAOImage DS9","apj_771_2_133.xml","apj474861, ASJOAB, 10.1088/0004-637X/771/2/133, 474861, ApJ90466","SAOImage DS9",0,"p","ack","The authors are grateful to Michele Kaufman, Mark ","
<p>The authors are grateful to Michele Kaufman, M",2013,"The Astrophysical Journal","The American Astronomical Society"
