,RADMC3D_XML_Tags
0,abstract
1,ack
2,app
3,app-group
4,article
5,article-meta
6,article-title
7,back
8,body
9,caption
10,comment
11,element-citation
12,ext-link
13,fig
14,fn
15,fpage
16,front
17,italic
18,list
19,list-item
20,monospace
21,nlm-citation
22,p
23,pub-id
24,ref
25,ref-list
26,sc
27,sec
28,source
29,table
30,table-wrap
31,table-wrap-foot
32,tbody
33,td
34,title
35,tr
36,volume
