,SAOImageDS9_XML_Tags
15,ack
16,app
28,app-group
29,article
30,back
40,body
17,caption
0,citation
1,comment
18,disp-formula
19,element-citation
2,ext-link
31,fig
32,fig-group
20,fn
33,fn-group
3,italic
34,list
21,list-item
4,monospace
22,nlm-citation
5,oasis:entry
23,oasis:row
35,oasis:tbody
41,oasis:tgroup
6,p
24,ref
36,ref-list
7,sc
25,sec
8,source
42,table
37,table-wrap
26,table-wrap-foot
38,tbody
9,td
10,tex-math
11,th
39,thead
12,title
27,tr
13,xref
