,WCSTools_XML_Tags
7,ack
8,app
16,app-group
17,article
18,back
22,body
9,comment
10,element-citation
0,ext-link
11,fn
19,fn-group
12,inline-formula
1,italic
20,list
13,list-item
2,monospace
14,nlm-citation
3,p
21,ref
23,ref-list
4,sc
15,sec
5,tex-math
