,AstroPy_XML_Tags
12,abstract
7,ack
13,article
18,article-meta
14,back
19,body
8,element-citation
0,ext-link
15,fn
16,list
9,list-item
1,monospace
10,nlm-citation
2,p
3,pub-id
17,ref
20,ref-list
4,sans-serif
5,sc
11,sec
