"","File_name","ack","element-citation","nlm-citation"
"152","apj_850_2_139.xml",0,1,0
"153","apj_851_1_51.xml",0,1,0
"154","apj_851_2_152.xml",0,1,0
"155","apj_852_1_18.xml",0,1,0
"156","apj_852_1_9.xml",0,1,0
"157","apj_852_2_128.xml",0,1,0
"158","apj_852_2_72.xml",0,1,0
"159","apj_853_1_57.xml",0,1,0
"160","apj_853_1_9.xml",0,1,0
"161","apj_853_2_111.xml",0,1,0
"162","apj_853_2_171.xml",0,1,0
"163","apj_853_2_180.xml",0,1,0
"164","apj_853_2_195.xml",1,0,0
"165","apj_854_1_12.xml",0,1,0
"166","apj_854_1_40.xml",0,1,0
"167","apj_854_1_69.xml",0,1,0
"168","apj_854_2_107.xml",0,1,0
"169","apj_854_2_117.xml",0,1,0
"170","apj_854_2_147.xml",0,1,0
"171","apj_854_2_158.xml",0,1,0
"172","apj_855_1_1.xml",0,1,0
"173","apj_855_1_14.xml",0,1,0
"174","apj_855_1_29.xml",0,1,0
"175","apj_855_2_102.xml",0,1,0
"176","apj_855_2_140.xml",0,1,0
"177","apj_855_2_98.xml",0,1,0
"178","apj_856_1_5.xml",0,1,0
"179","apj_856_1_64.xml",0,1,0
"180","apj_856_2_121.xml",0,1,0
"181","apj_856_2_142.xml",0,1,0
"182","apj_856_2_154.xml",0,1,0
"183","apj_857_1_49.xml",0,1,0
"184","apj_857_1_69.xml",0,1,0
"185","apj_857_1_74.xml",0,1,0
"186","apj_857_2_101.xml",0,1,0
"187","apj_857_2_104.xml",0,1,0
"188","apj_857_2_86.xml",0,1,0
"189","apjl_782_2_17.xml",0,0,1
"190","apjl_783_1_23.xml",0,0,1
"191","apjl_792_1_16.xml",0,0,1
"192","apjl_796_2_26.xml",0,0,1
"193","apjl_798_1_21.xml",0,0,1
"194","apjl_808_1_L3.xml",0,1,0
"195","apjl_808_1_L4.xml",0,1,0
"196","apjl_816_1_L2.xml",0,1,0
"197","apjl_817_2_L22.xml",0,1,0
"198","apjl_822_2_L31.xml",0,1,0
"199","apjl_827_2_L38.xml",0,1,0
"200","apjl_829_1_L7.xml",1,0,0
"201","apjl_831_2_L12.xml",0,1,0
"202","apjl_832_1_L3.xml",0,1,0
"203","apjl_835_2_L33.xml",0,1,0
"204","apjl_839_1_L15.xml",0,1,0
"205","apjl_841_1_L11.xml",0,1,0
"206","apjl_843_1_L8.xml",0,1,0
"207","apjl_846_1_L7.xml",0,1,0
"208","apjl_848_2_L27.xml",0,1,0
"209","apjl_848_2_L32.xml",0,1,0
"210","apjl_850_1_L13.xml",1,2,0
"211","apjl_851_2_L38.xml",0,2,0
"212","apjl_854_1_L13.xml",0,2,0
"213","apjl_856_2_L28.xml",0,2,0
"214","apjs_225_1_1.xml",0,2,0
"215","apjs_226_1_9.xml",0,2,0
"216","apjs_230_1_9.xml",0,1,0
"217","apjs_231_1_11.xml",0,1,0
"218","apjs_233_1_1.xml",0,1,0
"219","apjs_233_2_26.xml",0,1,0
"220","apjs_234_1_2.xml",0,1,0
"221","apjs_234_2_22.xml",0,1,0
"222","apjs_234_2_35.xml",0,1,0
"223","apjs_235_1_17.xml",0,1,0
"224","apjs_235_1_20.xml",1,1,0
