Software_name,Alias,ID
RADMC-3D,ita.uni-heidelberg.de/~dullemond/software/radmc-3d/radmc-3d_v0.41.pdf,0
RADMC-3D,ita.uni-heidelberg.de/~dullemond/software/radmc-3d/download.html,0
RADMC-3D,manualzz.com/doc/30421979/manual-for-radmc-3d---ita-heidelberg,0
RADMC-3D,ast.cam.ac.uk/~juhasz/radmc3dpy.html,0
RADMC-3D,aanda.org/articles/aa/abs/2004/13/aa4093/aa4093.html,0
RADMC-3D,doi.org/10.1051/0004-6361:20031768,0
RADMC-3D,10.1051/0004-6361:20031768,1
RADMC-3D,RADMC-2D,0
RADMC-3D,radmc2d,0
RADMC-3D,radmc-2d,0
RADMC-3D,ast.cam.ac.uk/~juhasz/radmc3dpy.html,0
RADMC-3D,ast.cam.ac.uk/~juhasz/radmc3dPyDoc/download.html,0
RADMC-3D,github.com/keflavich/radmc3dPy,0
RADMC-3D,bitbucket.org/at_juhasz/radmc3dpy,0
RADMC-3D,aanda.org/articles/aa/pdf/2004/13/aa4093.pdf,0
SAOImage DS9,SAOImage DS9,0
SAOImage DS9,DS9,0
SAOImage DS9,ds9,0
SAOImage DS9,SAOImage,0
SAOImage DS9,saoimage,0
SAOImage DS9,SAOtng,0
SAOImage DS9,pyds9,0
SAOImage DS9,TkSAO,0
SAOImage DS9,2000ascl.soft03002S,1
SAOImage DS9,ascl:0003.002,1
SAOImage DS9,2003ASPC..295..489J,1
SAOImage DS9,ds9.si.edu,0
SAOImage DS9,adsabs.harvard.edu/abs/2000ascl.soft03002S,0
SAOImage DS9,ascl.net/0003.002,0
SAOImage DS9,adsabs.harvard.edu/abs/2003ASPC..295..489J,0
SAOImage DS9,articles.adsabs.harvard.edu/cgi-bin/nph-iarticle_query?2003ASPC..295..489J&amp;data_type=PDF_HIGH&amp;whole_paper=YES&amp;type=PRINTER&amp;filetype=.pdf,0
SAOImage DS9,adsbit.harvard.edu//full/2003ASPC..295..489J/0000489.000.html,0
SAOImage DS9,aspbooks.org/a/volumes/article_details/?paper_id=27026,0
SAOImage DS9,aspbooks.org/publications/295/489.pdf,0
SAOImage DS9,github.com/SAOImageDS9,0
SAOImage DS9,github.com/SAOImageDS9/SAOImageDS9,0
SAOImage DS9,cv.nrao.edu/adass/adassVI/mandele.html,0
SAOImage DS9,This work was performed in large part under a grant from NASA's Applied Information System Research Program (NAGW-3913) with support from the AXAF Science Center (NAS8-39073).,0
SAOImage DS9,packages.debian.org/source/sid/saods9,0
SAOImage DS9,github.com/ericmandel/pyds9,0
SAOImage DS9,packages.debian.org/sid/tksao,0
SAOImage DS9,packages.debian.org/stretch/tksao,0
SAOImage DS9,launchpad.net/ubuntu/artful/+package/tksao,0
SAOImage DS9,packages.ubuntu.com/bionic/tksao,0
Spec2d,Spec2d,0
