,Software_Package,Alias,Identifier,File_Name,count
0,SAOImage DS9,DS9,0,10.1086_306585.xml,6
1,SAOImage DS9,DS9,0,aj_137_1_118.xml,2
2,Spec2d,spec2d,0,10.1086_324741.xml,2
3,TARDIS,TARDIS,0,10.1086_338320.xml,1
