,RADMC3D_XML_Tags
0,abstract
1,ack
2,app
3,app-group
4,article
5,article-meta
6,article-title
7,back
8,body
9,caption
10,comment
11,element-citation
12,ext-link
13,fig
14,fn
15,front
16,italic
17,list
18,list-item
19,monospace
20,nlm-citation
21,p
22,pub-id
23,ref
24,ref-list
25,sc
26,sec
27,source
28,table
29,table-wrap
30,table-wrap-foot
31,tbody
32,td
33,title
34,tr
35,volume
