,Parent1_Tag,Parent2_Tag,Parent3_Tag,Parent4_Tag,Software_Package,tags
0,ext-link,,,,AstroBlend,1
1,ext-link,,,,AstroPy,505
2,monospace,,,,AstroPy,5
3,p,,,,AstroPy,22
4,pub-id,,,,AstroPy,363
5,sans-serif,,,,AstroPy,1
6,sc,,,,AstroPy,2
7,article-title,,,,RADMC-3D,16
8,comment,,,,RADMC-3D,3
9,ext-link,,,,RADMC-3D,241
10,italic,,,,RADMC-3D,2
11,monospace,,,,RADMC-3D,22
12,p,,,,RADMC-3D,157
13,pub-id,,,,RADMC-3D,23
14,sc,,,,RADMC-3D,28
15,source,,,,RADMC-3D,12
16,td,,,,RADMC-3D,2
17,title,,,,RADMC-3D,1
18,volume,,,,RADMC-3D,1
19,ext-link,,,,SAOImage DS9,74
20,italic,,,,SAOImage DS9,14
21,monospace,,,,SAOImage DS9,3
22,p,,,,SAOImage DS9,337
23,sc,,,,SAOImage DS9,3
24,source,,,,SAOImage DS9,1
25,title,,,,SAOImage DS9,1
26,article-id,,,,Spec2d,1
27,article-title,,,,Spec2d,5
28,comment,,,,Spec2d,4
29,ext-link,,,,Spec2d,212
30,italic,,,,Spec2d,34
31,monospace,,,,Spec2d,57
32,p,,,,Spec2d,108
33,pub-id,,,,Spec2d,83
34,sc,,,,Spec2d,4
35,source,,,,Spec2d,24
36,p,,,,TARDIS,8
37,pub-id,,,,TARDIS,4
38,ext-link,,,,WCS Tools,71
39,italic,,,,WCS Tools,20
40,monospace,,,,WCS Tools,19
41,p,,,,WCS Tools,83
42,sc,,,,WCS Tools,3
43,tex-math,,,,WCS Tools,1
0,,p,,,AstroBlend,1
1,,ack,,,AstroPy,18
2,,element-citation,,,AstroPy,719
3,,list-item,,,AstroPy,2
4,,nlm-citation,,,AstroPy,66
5,,p,,,AstroPy,91
6,,sec,,,AstroPy,2
7,,abstract,,,RADMC-3D,2
8,,ack,,,RADMC-3D,10
9,,app,,,RADMC-3D,14
10,,article-title,,,RADMC-3D,1
11,,caption,,,RADMC-3D,26
12,,comment,,,RADMC-3D,4
13,,element-citation,,,RADMC-3D,82
14,,fn,,,RADMC-3D,1
15,,list-item,,,RADMC-3D,2
16,,nlm-citation,,,RADMC-3D,158
17,,p,,,RADMC-3D,103
18,,sec,,,RADMC-3D,103
19,,tr,,,RADMC-3D,2
20,,ack,,,SAOImage DS9,121
21,,app,,,SAOImage DS9,6
22,,caption,,,SAOImage DS9,25
23,,element-citation,,,SAOImage DS9,17
24,,fn,,,SAOImage DS9,9
25,,list-item,,,SAOImage DS9,2
26,,nlm-citation,,,SAOImage DS9,37
27,,p,,,SAOImage DS9,41
28,,sec,,,SAOImage DS9,175
29,,ack,,,Spec2d,34
30,,app,,,Spec2d,1
31,,article-meta,,,Spec2d,1
32,,article-title,,,Spec2d,1
33,,comment,,,Spec2d,2
34,,element-citation,,,Spec2d,195
35,,fn,,,Spec2d,11
36,,nlm-citation,,,Spec2d,82
