,Parent1_Tag,Parent2_Tag,Parent3_Tag,Parent4_Tag,Software_Package,tags
37,,oasis:entry,,,Spec2d,2
38,,p,,,Spec2d,140
39,,sec,,,Spec2d,62
40,,title,,,Spec2d,1
41,,element-citation,,,TARDIS,4
42,,sec,,,TARDIS,8
43,,ack,,,WCS Tools,1
44,,app,,,WCS Tools,3
45,,comment,,,WCS Tools,1
46,,element-citation,,,WCS Tools,9
47,,fn,,,WCS Tools,5
48,,inline-formula,,,WCS Tools,1
49,,list-item,,,WCS Tools,2
50,,nlm-citation,,,WCS Tools,26
51,,p,,,WCS Tools,77
52,,sec,,,WCS Tools,72
0,,,fn,,AstroBlend,1
1,,,abstract,,AstroPy,1
2,,,ack,,AstroPy,36
3,,,article,,AstroPy,1
4,,,back,,AstroPy,18
5,,,fn,,AstroPy,49
6,,,list,,AstroPy,2
7,,,ref,,AstroPy,785
8,,,sec,,AstroPy,6
9,,,ack,,RADMC-3D,6
10,,,app,,RADMC-3D,4
11,,,app-group,,RADMC-3D,14
12,,,article,,RADMC-3D,28
13,,,article-meta,,RADMC-3D,2
14,,,back,,RADMC-3D,10
15,,,caption,,RADMC-3D,2
16,,,element-citation,,RADMC-3D,5
17,,,fig,,RADMC-3D,26
18,,,fn,,RADMC-3D,45
19,,,list,,RADMC-3D,2
20,,,list-item,,RADMC-3D,1
21,,,p,,RADMC-3D,1
22,,,ref,,RADMC-3D,240
23,,,sec,,RADMC-3D,120
24,,,tbody,,RADMC-3D,2
25,,,ack,,SAOImage DS9,38
26,,,app,,SAOImage DS9,8
27,,,app-group,,SAOImage DS9,6
28,,,article,,SAOImage DS9,45
29,,,back,,SAOImage DS9,121
30,,,caption,,SAOImage DS9,2
31,,,fig,,SAOImage DS9,19
32,,,fig-group,,SAOImage DS9,6
33,,,fn,,SAOImage DS9,16
34,,,fn-group,,SAOImage DS9,1
35,,,list,,SAOImage DS9,2
36,,,list-item,,SAOImage DS9,2
37,,,p,,SAOImage DS9,7
38,,,ref,,SAOImage DS9,54
39,,,sec,,SAOImage DS9,105
40,,,table-wrap-foot,,SAOImage DS9,1
41,,,abstract,,Spec2d,1
42,,,ack,,Spec2d,4
43,,,app-group,,Spec2d,1
44,,,article,,Spec2d,12
45,,,back,,Spec2d,34
46,,,caption,,Spec2d,1
47,,,element-citation,,Spec2d,2
48,,,fn,,Spec2d,43
49,,,fn-group,,Spec2d,8
50,,,front,,Spec2d,1
51,,,list-item,,Spec2d,6
52,,,nlm-citation,,Spec2d,1
53,,,oasis:row,,Spec2d,2
54,,,p,,Spec2d,3
55,,,ref,,Spec2d,277
56,,,sec,,Spec2d,136
57,,,article,,TARDIS,7
58,,,ref,,TARDIS,4
59,,,sec,,TARDIS,1
60,,,ack,,WCS Tools,7
61,,,app,,WCS Tools,1
62,,,app-group,,WCS Tools,3
63,,,article,,WCS Tools,19
64,,,back,,WCS Tools,1
65,,,element-citation,,WCS Tools,1
66,,,fn,,WCS Tools,32
67,,,fn-group,,WCS Tools,3
68,,,list,,WCS Tools,2
69,,,list-item,,WCS Tools,1
70,,,p,,WCS Tools,3
71,,,ref,,WCS Tools,35
72,,,sec,,WCS Tools,89
0,,,,p,AstroBlend,1
1,,,,article,AstroPy,21
2,,,,article-meta,AstroPy,1
3,,,,back,AstroPy,36
4,,,,body,AstroPy,1
5,,,,p,AstroPy,51
6,,,,ref-list,AstroPy,785
7,,,,sec,AstroPy,3
8,,,,app,RADMC-3D,4
9,,,,app-group,RADMC-3D,4
10,,,,article,RADMC-3D,88
11,,,,back,RADMC-3D,20
12,,,,body,RADMC-3D,28
13,,,,fig,RADMC-3D,1
14,,,,front,RADMC-3D,2
15,,,,list,RADMC-3D,1
16,,,,p,RADMC-3D,46
17,,,,ref,RADMC-3D,5
18,,,,ref-list,RADMC-3D,240
19,,,,sec,RADMC-3D,65
20,,,,table,RADMC-3D,2
21,,,,table-wrap,RADMC-3D,1
22,,,,table-wrap-foot,RADMC-3D,1
23,,,,app,SAOImage DS9,1
24,,,,app-group,SAOImage DS9,8
25,,,,article,SAOImage DS9,203
26,,,,back,SAOImage DS9,44
27,,,,body,SAOImage DS9,45
28,,,,fig,SAOImage DS9,2
29,,,,list,SAOImage DS9,2
30,,,,list-item,SAOImage DS9,1
31,,,,p,SAOImage DS9,24
32,,,,ref-list,SAOImage DS9,54
33,,,,sec,SAOImage DS9,48
34,,,,table-wrap,SAOImage DS9,1
35,,,,ack,Spec2d,3
36,,,,article,Spec2d,83
37,,,,article-meta,Spec2d,1
38,,,,back,Spec2d,5
39,,,,body,Spec2d,12
40,,,,fig,Spec2d,1
41,,,,fn-group,Spec2d,9
42,,,,list,Spec2d,6
43,,,,oasis:tbody,Spec2d,2
44,,,,p,Spec2d,34
45,,,,ref,Spec2d,3
46,,,,ref-list,Spec2d,277
47,,,,sec,Spec2d,96
48,,,,article,TARDIS,1
49,,,,body,TARDIS,7
50,,,,ref-list,TARDIS,4
51,,,,ack,WCS Tools,1
52,,,,app-group,WCS Tools,1
53,,,,article,WCS Tools,57
54,,,,back,WCS Tools,10
55,,,,body,WCS Tools,19
56,,,,fn-group,WCS Tools,12
57,,,,list,WCS Tools,1
58,,,,p,WCS Tools,22
59,,,,ref,WCS Tools,1
60,,,,ref-list,WCS Tools,35
61,,,,sec,WCS Tools,38
